CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LEYEV,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,REYEV,RPUPILD,RPUPILV,CX,CY,CS,SKLHEADX,SKLHEADY,SKLHEADZ,SKLV,VIEWER_TIME_TICK
71535,129.56707,23300412715,0.616,0.364,129.485,0.082,647,1,0.633,0.368,0,0.624,0.454,1,0.624,0.454,1,1.#IO,1.#IO,34,1.071,0,1.#IO,1.#IO,36,0.969,1,-3.639,0.617,64.508,0,0,0,3.141,0.588,59.126,1,7.982,1,0.315,0.544,0,0,0,0,0,23300507341
71536,129.60036,23300490524,0.615,0.368,129.485,0.115,647,1,0.581,0.296,1,0.649,0.461,1,0.615,0.379,1,1.#IO,1.#IO,35,1.059,1,1.#IO,1.#IO,35,0.958,1,-3.639,0.617,64.508,0,8.467,2,3.141,0.588,59.126,1,7.76,1,0.315,0.544,0,0,0,0,0,23300543752
71537,129.60495,23300501252,0.617,0.378,129.485,0.12,647,1,0.626,0.407,1,0.62,0.481,1,0.623,0.444,1,1.#IO,1.#IO,35,1.05,1,1.#IO,1.#IO,35,0.95,1,-3.639,0.617,64.508,0,8.467,2,3.141,0.588,59.126,1,7.76,1,0.315,0.544,0,0,0,0,0,23300560307
71538,129.61634,23300527872,0.617,0.382,129.485,0.131,647,1,0.621,0.348,1,0.609,0.479,1,0.615,0.413,1,1.#IO,1.#IO,35,1.082,1,1.#IO,1.#IO,35,0.945,1,-3.64,0.547,63.37,1,8.317,1,3.268,0.618,61.621,1,8.088,1,0.315,0.544,0,0,0,0,0,23300583317
71539,129.63253,23300565719,0.617,0.382,129.485,0.147,647,1,0.621,0.348,0,0.609,0.479,0,0.615,0.413,0,1.#IO,1.#IO,35,1.082,0,1.#IO,1.#IO,35,0.945,0,-3.64,0.547,63.37,0,0,0,3.268,0.618,61.621,0,0,0,0.315,0.544,0,0,0,0,0,23300688457
71540,129.67061,23300654731,0.617,0.379,129.485,0.185,647,1,0.622,0.349,1,0.609,0.479,0,0.622,0.349,1,1.#IO,1.#IO,34,1.079,1,1.#IO,1.#IO,35,0.976,0,-3.64,0.547,63.37,1,8.08,1,3.268,0.618,61.621,0,0,0,0.315,0.544,0,0,0,0,0,23300759465
71541,129.70772,23300741478,0.617,0.379,129.485,0.223,647,1,0.622,0.349,0,0.609,0.479,0,0.622,0.349,0,1.#IO,1.#IO,34,1.079,0,1.#IO,1.#IO,35,0.976,0,-3.64,0.547,63.37,0,0,0,3.268,0.618,61.621,0,0,0,0.315,0.544,0,0,0,0,0,23300770667
71542,129.71219,23300751919,0.613,0.374,129.485,0.227,647,1,0.605,0.324,1,0.558,0.342,1,0.581,0.333,1,1.#IO,1.#IO,35,1.079,1,1.#IO,1.#IO,35,0.939,1,-3.64,0.547,63.37,1,8.317,1,3.268,0.618,61.621,1,8.088,1,0.315,0.544,0,0,0,0,0,23300782109
71543,129.71606,23300760971,0.613,0.369,129.485,0.231,647,1,0.607,0.314,1,0.558,0.342,0,0.607,0.314,1,1.#IO,1.#IO,35,1.079,1,1.#IO,1.#IO,35,0.976,0,-3.64,0.547,63.37,1,8.317,1,3.268,0.618,61.621,0,0,0,0.315,0.544,0,0,0,0,0,23300806225
71544,129.7314,23300796812,0.61,0.367,129.485,0.246,647,1,0.605,0.354,1,0.553,0.324,1,0.579,0.339,1,1.#IO,1.#IO,35,1.038,1,1.#IO,1.#IO,35,0.939,1,-3.64,0.547,63.37,0,8.317,2,3.454,0.647,65.109,1,8.546,1,0.315,0.544,0,0,0,0,0,23300915696
